specimen_name,scan_number,segment_index,start_x,start_y,end_x,end_y,length_pixels,length_microns,angle_degrees
int_01_01,0011,11,1467,1333,1364,1492,189.4466,215.2795,-57.06
int_01_01,0011,12,1378,1549,1565,1665,220.0568,250.0638,31.81
int_01_01,0011,13,1565,1665,1611,1787,130.3840,148.1632,69.34
int_01_01,0011,14,1611,1787,1481,1836,138.9280,157.8723,-20.65
int_01_01,0011,15,1481,1836,1339,2026,237.2003,269.5450,-53.23
int_01_01,0012,0,1422,0,1396,106,109.1421,124.0247,-76.22
int_01_01,0012,1,1396,106,1577,206,206.7873,234.9849,28.92
int_01_01,0012,2,1577,206,1670,402,216.9447,246.5273,64.62
int_01_01,0012,3,1633,303,1638,440,137.0912,155.7850,87.91
int_01_01,0012,4,1638,440,1421,464,218.3232,248.0937,-6.31
int_01_01,0012,5,1421,464,1334,589,152.2958,173.0628,-55.16
int_01_01,0012,6,1334,589,1530,693,221.8829,252.1388,27.95
int_01_01,0012,7,1530,693,1647,882,222.2836,252.5942,58.24
int_01_01,0012,8,1647,882,1492,927,161.4001,183.4086,-16.19
int_01_01,0012,9,1492,927,1369,1086,201.0224,228.4338,-52.28
int_01_01,0012,10,1375,1151,1565,1244,211.5396,240.3851,26.08
int_01_01,0012,11,1565,1244,1640,1401,173.9943,197.7201,64.47
int_01_01,0012,12,1634,1434,1514,1502,137.9275,156.7353,-29.54
int_01_01,0012,13,1438,1485,1356,1616,154.5477,175.6219,-57.96
int_01_01,0012,14,1371,1674,1550,1770,203.1182,230.8154,28.21
int_01_01,0012,15,1550,1770,1628,1922,170.8450,194.1414,62.84
int_01_01,0012,16,1627,1957,1465,1980,163.6246,185.9364,-8.08
int_01_01,0013,0,1643,58,1494,87,151.7959,172.4948,-11.01
int_01_01,0013,1,1494,87,1395,257,196.7257,223.5512,-59.79
int_01_01,0013,2,1404,290,1603,406,230.3411,261.7504,30.24
int_01_01,0013,3,1603,406,1668,581,186.6815,212.1374,69.62
int_01_01,0013,4,1668,581,1474,616,197.1319,224.0128,-10.23
int_01_01,0013,5,1474,616,1386,743,154.5089,175.5777,-55.28
int_01_01,0013,6,1395,800,1583,911,218.3232,248.0937,30.56
int_01_01,0013,7,1583,911,1666,1108,213.7709,242.9207,67.15
int_01_01,0013,8,1641,1020,1632,1138,118.3427,134.4799,-85.64
int_01_01,0013,9,1632,1138,1431,1164,202.6746,230.3113,-7.37
int_01_01,0013,10,1431,1164,1332,1291,161.0279,182.9857,-52.06
int_01_01,0013,11,1332,1291,1522,1382,210.6680,239.3947,25.59
int_01_01,0013,12,1522,1382,1635,1558,209.1531,237.6732,57.30
int_01_01,0013,13,1639,1593,1489,1627,153.8051,174.7779,-12.77
int_01_01,0013,14,1489,1627,1367,1817,225.7964,256.5860,-57.30
int_01_01,0013,15,1371,1847,1551,1930,198.2145,225.2431,24.75
int_01_01,0013,16,1551,1930,1630,2047,141.1737,160.4241,55.97
int_01_01,0014,0,1426,0,1609,101,209.0215,237.5237,28.89
int_01_01,0014,1,1609,101,1681,251,166.3851,189.0734,64.36
int_01_01,0014,2,1681,251,1485,296,201.0995,228.5214,-12.93
int_01_01,0014,3,1485,296,1390,431,165.0757,187.5855,-54.87
int_01_01,0014,4,1394,504,1566,596,195.0590,221.6572,28.14
int_01_01,0014,5,1566,596,1647,756,179.3349,203.7890,63.15
int_01_01,0014,6,1647,756,1490,796,162.0154,184.1079,-14.29
int_01_01,0014,7,1490,796,1388,967,199.1105,226.2612,-59.18
int_01_01,0014,8,1399,1000,1587,1105,215.3346,244.6977,29.18
int_01_01,0014,9,1587,1105,1663,1276,187.1283,212.6451,66.04
int_01_01,0014,10,1658,1297,1467,1329,193.6621,220.0698,-9.51
int_01_01,0014,11,1467,1329,1377,1458,157.2927,178.7412,-55.10
int_01_01,0014,12,1390,1511,1574,1617,212.3488,241.3046,29.95
int_01_01,0014,13,1574,1617,1660,1807,208.5569,236.9958,65.65
int_01_01,0014,14,1630,1712,1624,1846,134.1343,152.4248,-87.44
int_01_01,0014,15,1624,1846,1420,1874,205.9126,233.9908,-7.82
int_01_01,0014,16,1420,1874,1325,2001,158.6001,180.2268,-53.20
int_01_01,0014,17,1325,2001,1407,2047,94.0213,106.8420,29.29
int_01_01,0015,0,1639,0,1681,152,157.6959,179.1993,74.55
int_01_01,0015,1,1681,152,1458,196,227.2994,258.2939,-11.16
int_01_01,0015,2,1458,196,1391,308,130.5105,148.3070,-59.11
int_01_01,0015,3,1415,380,1616,482,225.3996,256.1351,26.91
int_01_01,0015,4,1616,482,1680,642,172.3253,195.8235,68.20
int_01_01,0015,5,1680,642,1463,695,223.3786,253.8385,-13.73
int_01_01,0015,6,1463,695,1382,822,150.6320,171.1722,-57.47
int_01_01,0015,7,1402,882,1592,975,211.5396,240.3851,26.08
int_01_01,0015,8,1592,975,1672,1107,154.3503,175.3975,58.78
int_01_01,0015,9,1673,1140,1479,1187,199.6121,226.8312,-13.62
int_01_01,0015,10,1479,1187,1384,1323,165.8945,188.5159,-55.06
int_01_01,0015,11,1388,1394,1554,1482,187.8829,213.5027,27.93
int_01_01,0015,12,1554,1482,1641,1645,184.7647,209.9592,61.91
int_01_01,0015,13,1641,1645,1483,1686,163.2330,185.4914,-14.55
int_01_01,0015,14,1483,1686,1381,1879,218.2957,248.0625,-62.14
int_01_01,0015,15,1381,1879,1615,2047,288.0625,327.3427,35.68
int_02_01,0001,0,1575,0,1278,56,302.2334,343.4459,-10.68
int_02_01,0001,1,1278,56,1212,167,129.1395,146.7489,-59.26
int_02_01,0001,2,1236,224,1553,316,330.0803,375.0900,16.18
int_02_01,0001,3,1553,316,1614,458,154.5477,175.6219,66.75
int_02_01,0001,4,1614,458,1263,558,364.9671,414.7340,-15.90
int_02_01,0001,5,1263,558,1218,655,106.9299,121.5108,-65.11
int_02_01,0001,6,1248,720,1555,795,316.0285,359.1221,13.73
int_02_01,0001,7,1555,795,1628,933,156.1185,177.4069,62.12
int_02_01,0001,8,1628,933,1437,1038,217.9587,247.6796,-28.80
int_02_01,0001,9,1437,1038,1263,1053,174.6454,198.4600,-4.93
int_02_01,0001,10,1263,1053,1212,1144,104.3168,118.5415,-60.73
int_02_01,0001,11,1234,1201,1559,1273,332.8799,378.2714,12.49
int_02_01,0001,12,1559,1273,1628,1405,148.9463,169.2566,62.40
int_02_01,0001,13,1619,1437,1352,1543,287.2716,326.4440,-21.65
int_02_01,0001,14,1268,1552,1209,1639,105.1190,119.4530,-55.86
int_02_01,0001,15,1209,1639,1557,1761,368.7655,419.0504,19.32
int_02_01,0001,16,1597,1844,1318,2047,345.0362,392.0854,-36.04
int_02_01,0002,0,1315,0,1293,146,147.6482,167.7815,-81.43
int_02_01,0002,1,1293,146,1604,246,326.6818,371.2281,17.82
int_02_01,0002,2,1604,246,1652,395,156.5407,177.8866,72.14
int_02_01,0002,3,1652,395,1397,481,269.1115,305.8075,-18.64
