specimen_name,scan_number,total_contact_length_microns,total_contact_length_mm,SAEF,MID_mm,VIR,CAT_HORIZONTAL_len_mm,CAT_CLOSING_len_mm,CAT_OPENING_UPPER_len_mm,CAT_OPENING_LOWER_len_mm
slo_80_01,0011,2879.6521,2.8797,1.2380,0.5568,0.1997,0.0000,2.3644,0.5152,0.0000
slo_80_01,0012,2839.1605,2.8392,1.2492,0.4943,0.1779,0.0000,2.1686,0.6706,0.0000
slo_80_01,0013,2858.6155,2.8586,1.2289,0.4068,0.2415,0.0000,2.4833,0.3753,0.0000
slo_80_01,0014,3217.2225,3.2172,1.3871,0.5261,0.2285,0.0000,2.9337,0.2835,0.0000
slo_80_01,0015,2686.5769,2.6866,1.1833,0.4239,0.2014,0.0000,2.0192,0.6674,0.0000
slo_81_01,0001,3005.2464,3.0052,1.3316,0.5159,0.1832,0.0000,1.5988,0.9057,0.5007
slo_81_01,0002,3259.5845,3.2596,1.4013,0.5852,0.1956,0.0000,1.8446,0.8400,0.5750
slo_81_01,0003,3082.1161,3.0821,1.3831,0.6239,0.1708,0.0000,1.8212,0.8244,0.4365
slo_81_01,0004,2924.6212,2.9246,1.2875,0.5443,0.1850,0.0525,1.9513,0.8233,0.0976
slo_81_01,0005,2840.1671,2.8402,1.2210,0.5011,0.2152,0.0625,2.1636,0.6140,0.0000
slo_81_01,0006,2949.1815,2.9492,1.2760,0.4955,0.1955,0.0000,2.2918,0.6574,0.0000
slo_81_01,0007,2903.1823,2.9032,1.2481,0.4932,0.2234,0.0000,2.2635,0.6396,0.0000
slo_81_01,0008,2790.7578,2.7908,1.1997,0.5682,0.1923,0.0000,1.9071,0.8837,0.0000
slo_81_01,0009,2837.4789,2.8375,1.2435,0.5023,0.2036,0.0000,2.0041,0.8334,0.0000
slo_81_01,0010,2973.8305,2.9738,1.2784,0.4955,0.1970,0.0000,2.1442,0.8296,0.0000
slo_81_01,0011,2857.7916,2.8578,1.2286,0.4750,0.2076,0.0000,1.9233,0.9345,0.0000
slo_81_01,0012,2880.7591,2.8808,1.2384,0.4432,0.2049,0.0000,2.3129,0.5678,0.0000
slo_81_01,0013,2947.5998,2.9476,1.2709,0.5466,0.1917,0.0000,2.0688,0.7834,0.0954
slo_81_01,0014,2991.6512,2.9917,1.2861,0.5375,0.2046,0.0000,1.9233,0.9752,0.0931
slo_81_01,0015,3009.1903,3.0092,1.2936,0.5682,0.1965,0.0000,2.0127,0.9965,0.0000
slo_81_01,0016,2868.4195,2.8684,1.2331,0.5227,0.1997,0.0000,1.8936,0.9749,0.0000
slo_81_01,0017,2883.9334,2.8839,1.2614,0.5239,0.1860,0.0000,1.8835,1.0004,0.0000
slo_82_01,0001,3421.8561,3.4219,1.4711,0.5341,0.1842,0.1166,1.7927,0.8622,0.6504
slo_82_01,0002,3163.8508,3.1639,1.3742,0.5591,0.1989,0.0000,1.9055,0.7916,0.4667
slo_82_01,0003,2944.0218,2.9440,1.2656,0.4523,0.1913,0.0000,1.9147,0.8294,0.2000
slo_82_01,0004,2768.8939,2.7689,1.1903,0.5045,0.2021,0.0000,1.9166,0.7331,0.1192
slo_82_01,0005,2615.3873,2.6154,1.1244,0.4420,0.1770,0.0000,1.8689,0.7464,0.0000
slo_82_01,0006,2909.0225,2.9090,1.2506,0.4193,0.1953,0.0000,2.2017,0.7073,0.0000
slo_82_01,0007,2931.7760,2.9318,1.2604,0.4352,0.2212,0.0000,2.3928,0.5390,0.0000
slo_82_01,0008,2833.1423,2.8331,1.2180,0.5352,0.1873,0.0000,2.2276,0.6056,0.0000
slo_82_01,0009,3117.4418,3.1174,1.3897,0.5193,0.2088,0.0000,2.2268,0.7961,0.0945
slo_82_01,0010,3282.1092,3.2821,1.4110,0.4705,0.2023,0.0000,2.4495,0.8326,0.0000
slo_82_01,0011,2942.6931,2.9427,1.2807,0.4716,0.1940,0.0000,2.1242,0.5944,0.2241
slo_82_01,0012,2885.8610,2.8859,1.2406,0.3966,0.1917,0.0000,2.0409,0.6058,0.2391
slo_82_01,0013,3035.3102,3.0353,1.3074,0.5068,0.1856,0.0000,2.0067,0.7223,0.3063
slo_82_01,0014,2951.6820,2.9517,1.2689,0.5227,0.1804,0.0000,2.0914,0.6994,0.1609
slo_82_01,0015,3021.5445,3.0215,1.2990,0.4716,0.1788,0.0000,2.0192,0.8433,0.1591
slo_83_01,0001,3423.2185,3.4232,1.4825,0.6352,0.1741,0.1184,1.6256,0.7919,0.8872
slo_83_01,0002,2941.7007,2.9417,1.2777,0.5057,0.1827,0.0000,1.4668,0.8748,0.6000
slo_83_01,0003,3393.2188,3.3932,1.4878,0.6648,0.1830,0.0000,1.6962,1.0928,0.6042
slo_83_01,0004,2911.6313,2.9116,1.2517,0.4727,0.1757,0.0000,1.7829,0.9051,0.2237
slo_83_01,0005,2903.4992,2.9035,1.2482,0.4034,0.2272,0.0000,2.0576,0.6692,0.1768
slo_83_01,0006,2966.0969,2.9661,1.2751,0.5045,0.1808,0.0000,1.9259,0.8365,0.2037
slo_83_01,0007,2846.6028,2.8466,1.2238,0.5159,0.2052,0.0682,2.0733,0.7051,0.0000
slo_83_01,0008,2732.8206,2.7328,1.2448,0.5000,0.1841,0.0000,1.7311,1.0018,0.0000
slo_83_01,0009,3294.6997,3.2947,1.4164,0.4182,0.2195,0.0000,2.0564,0.9564,0.2819
slo_83_01,0010,3026.4367,3.0264,1.3011,0.4602,0.2334,0.1657,2.1642,0.6966,0.0000
slo_83_01,0011,2857.0318,2.8570,1.2440,0.4341,0.1528,0.0000,2.0739,0.6527,0.1304
slo_83_01,0012,2994.0948,2.9941,1.2872,0.4034,0.1835,0.0000,1.6213,0.9503,0.4225
