specimen_name,scan_number,segment_index,start_x,start_y,end_x,end_y,length_pixels,length_microns,angle_degrees
slo_40_01,0012,10,1900,1419,2182,1621,346.8833,394.1843,35.61
slo_40_01,0012,11,2182,1621,2145,1832,214.2195,243.4305,-80.05
slo_40_01,0012,12,2145,1832,2506,1915,370.4187,420.9290,12.95
slo_40_01,0012,13,2506,1915,2684,2047,221.6032,251.8211,36.56
slo_40_01,0013,0,152,17,507,196,397.5752,451.7885,26.76
slo_40_01,0013,1,545,259,501,427,173.6663,197.3475,-75.32
slo_40_01,0013,2,583,446,1163,726,644.0497,731.8723,25.77
slo_40_01,0013,3,1163,726,1098,913,197.9747,224.9706,-70.83
slo_40_01,0013,4,1106,955,1392,1040,298.3639,339.0488,16.55
slo_40_01,0013,5,1392,1040,1704,1214,357.2394,405.9526,29.15
slo_40_01,0013,6,1743,1276,1706,1463,190.6253,216.6190,-78.81
slo_40_01,0013,7,1706,1463,1995,1554,302.9884,344.3040,17.48
slo_40_01,0013,8,1995,1554,2347,1779,417.7667,474.7333,32.59
slo_40_01,0013,9,2347,1779,2312,1972,196.1479,222.8946,-79.72
slo_40_01,0013,10,2312,1972,2586,2047,284.0792,322.8163,15.31
slo_40_01,0014,0,235,0,332,91,133.0038,151.1402,43.17
slo_40_01,0014,1,332,91,278,259,176.4653,200.5281,-72.18
slo_40_01,0014,2,286,303,586,386,311.2700,353.7148,15.46
slo_40_01,0014,3,586,386,877,547,332.5688,377.9179,28.95
slo_40_01,0014,4,877,547,924,609,77.8010,88.4100,52.84
slo_40_01,0014,5,924,609,889,802,196.1479,222.8946,-79.72
slo_40_01,0014,6,889,802,1193,895,317.9072,361.2570,17.01
slo_40_01,0014,7,1193,895,1489,1057,337.4315,383.4436,28.69
slo_40_01,0014,8,1489,1057,1536,1131,87.6641,99.6180,57.58
slo_40_01,0014,9,1536,1131,1494,1296,170.2616,193.4784,-75.72
slo_40_01,0014,10,1494,1296,1721,1361,236.1228,268.3206,15.98
slo_40_01,0014,11,1721,1361,2156,1598,495.3726,562.9216,28.58
slo_40_01,0014,12,2156,1598,2089,1783,196.7587,223.5888,-70.09
slo_40_01,0014,13,2097,1823,2502,1976,432.9365,491.9717,20.70
slo_40_01,0015,0,176,19,541,243,428.2534,486.6501,31.54
slo_40_01,0015,1,557,271,535,464,194.2498,220.7377,-83.50
slo_40_01,0015,2,535,464,873,546,347.8045,395.2312,13.64
slo_40_01,0015,3,873,546,1164,789,379.1174,430.8138,39.86
slo_40_01,0015,4,1164,789,1102,916,141.3259,160.5971,-63.98
slo_40_01,0015,5,1121,995,1416,1076,305.9183,347.6333,15.35
slo_40_01,0015,6,1416,1076,1719,1248,348.4150,395.9248,29.58
slo_40_01,0015,7,1719,1248,1762,1314,78.7718,89.5131,56.92
slo_40_01,0015,8,1762,1314,1721,1494,184.6104,209.7839,-77.17
